"model","logLik","k","AIC","AIC_weight","nsim","tree_number","dataset","trait"
"ER",-51.5400783496684,1,105.080156699337,0.074734361527111,2,1,"Jones","Cave_karstic_deposit"
"SYM",-51.5400783496684,1,105.080156699337,0.074734361527111,1,1,"Jones","Cave_karstic_deposit"
"ARD",-48.1081571437777,2,100.216314287555,0.850531276945778,17,1,"Jones","Cave_karstic_deposit"
"ER",-51.4036953522199,1,104.80739070444,0.0765492689041585,2,2,"Jones","Cave_karstic_deposit"
"SYM",-51.4036953522199,1,104.80739070444,0.0765492689041585,1,2,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455732635,2,100.000091146527,0.846901462191683,17,2,"Jones","Cave_karstic_deposit"
"ER",-51.4591730652118,1,104.918346130424,0.080278859635813,2,3,"Jones","Cave_karstic_deposit"
"SYM",-51.4591730652118,1,104.918346130424,0.080278859635813,1,3,"Jones","Cave_karstic_deposit"
"ARD",-48.1119416643936,2,100.223883328787,0.839442280728374,17,3,"Jones","Cave_karstic_deposit"
"ER",-51.4984510079697,1,104.996902015939,0.073090214096986,2,4,"Jones","Cave_karstic_deposit"
"SYM",-51.4984510079697,1,104.996902015939,0.073090214096986,1,4,"Jones","Cave_karstic_deposit"
"ARD",-48.0404255984466,2,100.080851196893,0.853819571806028,17,4,"Jones","Cave_karstic_deposit"
"ER",-51.5266036351265,1,105.053207270253,0.0689162180151279,2,5,"Jones","Cave_karstic_deposit"
"SYM",-51.5266036351265,1,105.053207270253,0.0689162180151279,1,5,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455287539,2,100.000091057508,0.862167563969744,17,5,"Jones","Cave_karstic_deposit"
"ER",-51.4746136357009,1,104.949227271402,0.0720638835668178,2,6,"Jones","Cave_karstic_deposit"
"SYM",-51.4746136357009,1,104.949227271402,0.0720638835668178,1,6,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455287543,2,100.000091057509,0.855872232866364,17,6,"Jones","Cave_karstic_deposit"
"ER",-51.6164554612501,1,105.2329109225,0.0637490843335169,1,7,"Jones","Cave_karstic_deposit"
"SYM",-51.6164554612501,1,105.2329109225,0.0637490843335169,1,7,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455287663,2,100.000091057533,0.872501831332966,18,7,"Jones","Cave_karstic_deposit"
"ER",-51.5495656261794,1,105.099131252359,0.0748651823288867,2,8,"Jones","Cave_karstic_deposit"
"SYM",-51.5495656261794,1,105.099131252359,0.0748651823288867,1,8,"Jones","Cave_karstic_deposit"
"ARD",-48.1197010359707,2,100.239402071941,0.850269635342226,17,8,"Jones","Cave_karstic_deposit"
"ER",-51.4834488203613,1,104.966897640723,0.0715206631942667,2,9,"Jones","Cave_karstic_deposit"
"SYM",-51.4834488203613,1,104.966897640723,0.0715206631942667,1,9,"Jones","Cave_karstic_deposit"
"ARD",-48.000045528756,2,100.000091057512,0.856958673611466,17,9,"Jones","Cave_karstic_deposit"
"ER",-51.5160933589282,1,105.032186717856,0.078246811717204,2,10,"Jones","Cave_karstic_deposit"
"SYM",-51.5160933589282,1,105.032186717856,0.078246811717204,1,10,"Jones","Cave_karstic_deposit"
"ARD",-48.1383939810819,2,100.276787962164,0.843506376565592,17,10,"Jones","Cave_karstic_deposit"
"ER",-51.5541781321248,1,105.10835626425,0.0751359533487835,2,11,"Jones","Cave_karstic_deposit"
"SYM",-51.5541781321248,1,105.10835626425,0.0751359533487835,1,11,"Jones","Cave_karstic_deposit"
"ARD",-48.1285609079237,2,100.257121815847,0.849728093302433,17,11,"Jones","Cave_karstic_deposit"
"ER",-51.5268212288241,1,105.053642457648,0.0707422721803828,2,12,"Jones","Cave_karstic_deposit"
"SYM",-51.5268212288241,1,105.053642457648,0.0707422721803828,1,12,"Jones","Cave_karstic_deposit"
"ARD",-48.0306598489996,2,100.061319697999,0.858515455639234,17,12,"Jones","Cave_karstic_deposit"
"ER",-51.675530465109,1,105.351060930218,0.0605349261528053,1,13,"Jones","Cave_karstic_deposit"
"SYM",-51.675530465109,1,105.351060930218,0.0605349261528053,1,13,"Jones","Cave_karstic_deposit"
"ARD",-48.000045528756,2,100.000091057512,0.878930147694389,18,13,"Jones","Cave_karstic_deposit"
"ER",-51.3812999212638,1,104.762599842528,0.078012461188726,2,14,"Jones","Cave_karstic_deposit"
"SYM",-51.3812999212638,1,104.762599842528,0.078012461188726,1,14,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455287464,2,100.000091057493,0.843975077622548,17,14,"Jones","Cave_karstic_deposit"
"ER",-51.4268435116387,1,104.853687023277,0.0750606004036286,2,15,"Jones","Cave_karstic_deposit"
"SYM",-51.4268435116387,1,104.853687023277,0.0750606004036286,1,15,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455541636,2,100.000091108327,0.849878799192743,17,15,"Jones","Cave_karstic_deposit"
"ER",-51.596527742301,1,105.193055484602,0.0730345869999865,2,16,"Jones","Cave_karstic_deposit"
"SYM",-51.596527742301,1,105.193055484602,0.0730345869999865,1,16,"Jones","Cave_karstic_deposit"
"ARD",-48.1376106752566,2,100.275221350513,0.853930826000027,17,16,"Jones","Cave_karstic_deposit"
"ER",-51.4587558093534,1,104.917511618707,0.0730474849658592,2,17,"Jones","Cave_karstic_deposit"
"SYM",-51.4587558093534,1,104.917511618707,0.0730474849658592,1,17,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455364207,2,100.000091072841,0.853905030068282,17,17,"Jones","Cave_karstic_deposit"
"ER",-51.5098027801343,1,105.019605560269,0.0758879845592117,2,18,"Jones","Cave_karstic_deposit"
"SYM",-51.5098027801343,1,105.019605560269,0.0758879845592117,1,18,"Jones","Cave_karstic_deposit"
"ARD",-48.0959163575405,2,100.191832715081,0.848224030881576,17,18,"Jones","Cave_karstic_deposit"
"ER",-51.5485947298076,1,105.097189459615,0.0746477264047831,2,19,"Jones","Cave_karstic_deposit"
"SYM",-51.5485947298076,1,105.097189459615,0.0746477264047831,1,19,"Jones","Cave_karstic_deposit"
"ARD",-48.1153099113933,2,100.230619822787,0.850704547190434,17,19,"Jones","Cave_karstic_deposit"
"ER",-51.5519463604304,1,105.103892720861,0.0754238613779066,2,20,"Jones","Cave_karstic_deposit"
"SYM",-51.5519463604304,1,105.103892720861,0.0754238613779066,1,20,"Jones","Cave_karstic_deposit"
"ARD",-48.1308315183384,2,100.261663036677,0.849152277244187,17,20,"Jones","Cave_karstic_deposit"
"ER",-51.4528940563375,1,104.905788112675,0.0734138739614612,2,21,"Jones","Cave_karstic_deposit"
"SYM",-51.4528940563375,1,104.905788112675,0.0734138739614612,1,21,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455287552,2,100.00009105751,0.853172252077078,17,21,"Jones","Cave_karstic_deposit"
"ER",-51.6596130364361,1,105.319226072872,0.0685390539483189,2,22,"Jones","Cave_karstic_deposit"
"SYM",-51.6596130364361,1,105.319226072872,0.0685390539483189,1,22,"Jones","Cave_karstic_deposit"
"ARD",-48.1266925702987,2,100.253385140597,0.862921892103362,17,22,"Jones","Cave_karstic_deposit"
"ER",-51.4288384440078,1,104.857676888016,0.0749334260424567,2,23,"Jones","Cave_karstic_deposit"
"SYM",-51.4288384440078,1,104.857676888016,0.0749334260424567,1,23,"Jones","Cave_karstic_deposit"
"ARD",-48.000045528757,2,100.000091057514,0.850133147915087,17,23,"Jones","Cave_karstic_deposit"
"ER",-51.5350240983612,1,105.070048196722,0.0763417777020088,2,24,"Jones","Cave_karstic_deposit"
"SYM",-51.5350240983612,1,105.070048196722,0.0763417777020088,1,24,"Jones","Cave_karstic_deposit"
"ARD",-48.1281702007967,2,100.256340401593,0.847316444595983,17,24,"Jones","Cave_karstic_deposit"
"ER",-51.5195365857936,1,105.039073171587,0.0769223141179184,2,25,"Jones","Cave_karstic_deposit"
"SYM",-51.5195365857936,1,105.039073171587,0.0769223141179184,1,25,"Jones","Cave_karstic_deposit"
"ARD",-48.1216295934866,2,100.243259186973,0.846155371764163,17,25,"Jones","Cave_karstic_deposit"
"ER",-51.5497288742366,1,105.099457748473,0.0755464862876539,2,26,"Jones","Cave_karstic_deposit"
"SYM",-51.5497288742366,1,105.099457748473,0.0755464862876539,1,26,"Jones","Cave_karstic_deposit"
"ARD",-48.1305273814565,2,100.261054762913,0.848907027424692,17,26,"Jones","Cave_karstic_deposit"
"ER",-51.5421163214278,1,105.084232642856,0.0737242279741503,2,27,"Jones","Cave_karstic_deposit"
"SYM",-51.5421163214278,1,105.084232642856,0.0737242279741503,1,27,"Jones","Cave_karstic_deposit"
"ARD",-48.0942141348168,2,100.188428269634,0.852551544051699,17,27,"Jones","Cave_karstic_deposit"
"ER",-51.4207138750694,1,104.841427750139,0.0754524622581647,2,28,"Jones","Cave_karstic_deposit"
"SYM",-51.4207138750694,1,104.841427750139,0.0754524622581647,1,28,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455287547,2,100.000091057509,0.849095075483671,17,28,"Jones","Cave_karstic_deposit"
"ER",-51.5801756837352,1,105.16035136747,0.072355185921539,2,29,"Jones","Cave_karstic_deposit"
"SYM",-51.5801756837352,1,105.16035136747,0.072355185921539,1,29,"Jones","Cave_karstic_deposit"
"ARD",-48.1103226545385,2,100.220645309077,0.855289628156922,17,29,"Jones","Cave_karstic_deposit"
"ER",-51.4702431020139,1,104.940486204028,0.0783640980172338,2,30,"Jones","Cave_karstic_deposit"
"SYM",-51.4702431020139,1,104.940486204028,0.0783640980172338,1,30,"Jones","Cave_karstic_deposit"
"ARD",-48.094319660366,2,100.188639320732,0.843271803965532,17,30,"Jones","Cave_karstic_deposit"
"ER",-51.5699090548049,1,105.13981810961,0.0727378049802928,2,31,"Jones","Cave_karstic_deposit"
"SYM",-51.5699090548049,1,105.13981810961,0.0727378049802928,1,31,"Jones","Cave_karstic_deposit"
"ARD",-48.1062252724662,2,100.212450544932,0.854524390039414,17,31,"Jones","Cave_karstic_deposit"
"ER",-51.6240539267429,1,105.248107853486,0.0683466108771593,2,32,"Jones","Cave_karstic_deposit"
"SYM",-51.6240539267429,1,105.248107853486,0.0683466108771593,1,32,"Jones","Cave_karstic_deposit"
"ARD",-48.0878757970941,2,100.175751594188,0.863306778245681,17,32,"Jones","Cave_karstic_deposit"
"ER",-51.3849068346045,1,104.769813669209,0.0777752744804335,2,33,"Jones","Cave_karstic_deposit"
"SYM",-51.3849068346045,1,104.769813669209,0.0777752744804335,1,33,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455287594,2,100.000091057519,0.844449451039133,17,33,"Jones","Cave_karstic_deposit"
"ER",-51.4245767848844,1,104.849153569769,0.075205313457764,2,34,"Jones","Cave_karstic_deposit"
"SYM",-51.4245767848844,1,104.849153569769,0.075205313457764,1,34,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455287574,2,100.000091057515,0.849589373084472,17,34,"Jones","Cave_karstic_deposit"
"ER",-51.6137698600123,1,105.227539720025,0.0692491893900664,2,35,"Jones","Cave_karstic_deposit"
"SYM",-51.6137698600123,1,105.227539720025,0.0692491893900664,1,35,"Jones","Cave_karstic_deposit"
"ARD",-48.0928043616294,2,100.185608723259,0.861501621219867,17,35,"Jones","Cave_karstic_deposit"
"ER",-51.4955825272463,1,104.991165054493,0.0775070573013195,2,36,"Jones","Cave_karstic_deposit"
"SYM",-51.4955825272463,1,104.991165054493,0.0775070573013195,1,36,"Jones","Cave_karstic_deposit"
"ARD",-48.1066315978663,2,100.213263195733,0.844985885397361,17,36,"Jones","Cave_karstic_deposit"
"ER",-51.5001148192955,1,105.000229638591,0.0752626780559914,2,37,"Jones","Cave_karstic_deposit"
"SYM",-51.5001148192955,1,105.000229638591,0.0752626780559914,1,37,"Jones","Cave_karstic_deposit"
"ARD",-48.0764810954942,2,100.152962190988,0.849474643888017,17,37,"Jones","Cave_karstic_deposit"
"ER",-51.479542370248,1,104.959084740496,0.0752647841032027,2,38,"Jones","Cave_karstic_deposit"
"SYM",-51.479542370248,1,104.959084740496,0.0752647841032027,1,38,"Jones","Cave_karstic_deposit"
"ARD",-48.0559415871612,2,100.111883174322,0.849470431793595,17,38,"Jones","Cave_karstic_deposit"
"ER",-51.4870537145185,1,104.974107429037,0.0713000025051952,2,39,"Jones","Cave_karstic_deposit"
"SYM",-51.4870537145185,1,104.974107429037,0.0713000025051952,1,39,"Jones","Cave_karstic_deposit"
"ARD",-48.0000455287545,2,100.000091057509,0.85739999498961,17,39,"Jones","Cave_karstic_deposit"
"ER",-51.5363097753928,1,105.072619550786,0.0769338359415377,2,40,"Jones","Cave_karstic_deposit"
"SYM",-51.5363097753928,1,105.072619550786,0.0769338359415377,1,40,"Jones","Cave_karstic_deposit"
"ARD",-48.1385797907845,2,100.277159581569,0.846132328116925,17,40,"Jones","Cave_karstic_deposit"
"ER",-51.4590051236181,1,104.918010247236,0.0791444676704192,2,41,"Jones","Cave_karstic_deposit"
"SYM",-51.4590051236181,1,104.918010247236,0.0791444676704192,1,41,"Jones","Cave_karstic_deposit"
"ARD",-48.0948432089891,2,100.189686417978,0.841711064659162,17,41,"Jones","Cave_karstic_deposit"
"ER",-51.470660087503,1,104.941320175006,0.07435536972429,2,42,"Jones","Cave_karstic_deposit"
"SYM",-51.470660087503,1,104.941320175006,0.07435536972429,1,42,"Jones","Cave_karstic_deposit"
"ARD",-48.0327640025922,2,100.065528005184,0.85128926055142,17,42,"Jones","Cave_karstic_deposit"
