"model","logLik","k","AIC","AIC_weight","nsim","tree_number","dataset","trait"
"ER",-18.3686676426527,1,38.7373352853055,0.417039581353905,9,1,"Hand","Cave_karstic_deposit"
"SYM",-18.3686676426527,1,38.7373352853055,0.417039581353905,8,1,"Hand","Cave_karstic_deposit"
"ARD",-18.2903379884316,2,40.5806759768632,0.16592083729219,3,1,"Hand","Cave_karstic_deposit"
"ER",-17.973469415665,1,37.9469388313301,0.40553481820077,8,2,"Hand","Cave_karstic_deposit"
"SYM",-17.973469415665,1,37.9469388313301,0.40553481820077,8,2,"Hand","Cave_karstic_deposit"
"ARD",-17.7372976497969,2,39.4745952995938,0.188930363598461,4,2,"Hand","Cave_karstic_deposit"
"ER",-18.2797248036906,1,38.5594496073812,0.415405265412509,8,3,"Hand","Cave_karstic_deposit"
"SYM",-18.2797248036906,1,38.5594496073812,0.415405265412509,8,3,"Hand","Cave_karstic_deposit"
"ARD",-18.1779601842592,2,40.3559203685185,0.169189469174982,4,3,"Hand","Cave_karstic_deposit"
"ER",-17.9157154396546,1,37.8314308793093,0.399265477867953,8,4,"Hand","Cave_karstic_deposit"
"SYM",-17.9157154396546,1,37.8314308793093,0.399265477867953,8,4,"Hand","Cave_karstic_deposit"
"ARD",-17.5997062502529,2,39.1994125005059,0.201469044264094,4,4,"Hand","Cave_karstic_deposit"
"ER",-18.0363768091868,1,38.0727536183735,0.403220948996843,8,5,"Hand","Cave_karstic_deposit"
"SYM",-18.0363768091868,1,38.0727536183735,0.403220948996843,8,5,"Hand","Cave_karstic_deposit"
"ARD",-17.7702837452669,2,39.5405674905339,0.193558102006313,4,5,"Hand","Cave_karstic_deposit"
"ER",-18.3540248654509,1,38.7080497309017,0.416319333628696,8,6,"Hand","Cave_karstic_deposit"
"SYM",-18.3540248654509,1,38.7080497309017,0.416319333628696,8,6,"Hand","Cave_karstic_deposit"
"ARD",-18.2653223159778,2,40.5306446319556,0.167361332742608,4,6,"Hand","Cave_karstic_deposit"
"ER",-18.0972773382237,1,38.1945546764475,0.405512693563091,8,7,"Hand","Cave_karstic_deposit"
"SYM",-18.0972773382237,1,38.1945546764475,0.405512693563091,8,7,"Hand","Cave_karstic_deposit"
"ARD",-17.8608168321556,2,39.7216336643111,0.188974612873817,4,7,"Hand","Cave_karstic_deposit"
"ER",-17.974600931527,1,37.9492018630541,0.405005876373752,8,8,"Hand","Cave_karstic_deposit"
"SYM",-17.974600931527,1,37.9492018630541,0.405005876373752,8,8,"Hand","Cave_karstic_deposit"
"ARD",-17.7315402944117,2,39.4630805888233,0.189988247252496,4,8,"Hand","Cave_karstic_deposit"
"ER",-18.1084039447015,1,38.2168078894031,0.401973740653946,8,9,"Hand","Cave_karstic_deposit"
"SYM",-18.1084039447015,1,38.2168078894031,0.401973740653946,8,9,"Hand","Cave_karstic_deposit"
"ARD",-17.8264081335822,2,39.6528162671645,0.196052518692108,4,9,"Hand","Cave_karstic_deposit"
"ER",-18.1140049217302,1,38.2280098434604,0.409130162519526,8,10,"Hand","Cave_karstic_deposit"
"SYM",-18.1140049217302,1,38.2280098434604,0.409130162519526,8,10,"Hand","Cave_karstic_deposit"
"ARD",-17.9254629671308,2,39.8509259342616,0.181739674960948,4,10,"Hand","Cave_karstic_deposit"
"ER",-18.1706922171193,1,38.3413844342385,0.413017693578466,8,11,"Hand","Cave_karstic_deposit"
"SYM",-18.1706922171193,1,38.3413844342385,0.413017693578466,8,11,"Hand","Cave_karstic_deposit"
"ARD",-18.0353307466909,2,40.0706614933819,0.173964612843069,4,11,"Hand","Cave_karstic_deposit"
