"model","logLik","k","AIC","AIC_weight","nsim","tree_number","dataset","trait"
"ER",-17.5505925036821,1,37.1011850073642,0.425903088616052,9,1,"Hand","Echolocation"
"SYM",-17.5505925036821,1,37.1011850073642,0.425903088616052,8,1,"Hand","Echolocation"
"ARD",-17.6062833022946,2,39.2125666045891,0.148193822767896,3,1,"Hand","Echolocation"
"ER",-15.840486464152,1,33.6809729283039,0.422747083812402,9,2,"Hand","Echolocation"
"SYM",-15.840486464152,1,33.6809729283039,0.422747083812402,8,2,"Hand","Echolocation"
"ARD",-15.8470287081429,2,35.6940574162858,0.154505832375196,3,2,"Hand","Echolocation"
"ER",-17.9885486922038,1,37.9770973844075,0.431951606447393,9,3,"Hand","Echolocation"
"SYM",-17.9885486922038,1,37.9770973844075,0.431951606447393,8,3,"Hand","Echolocation"
"ARD",-18.14349594955,2,40.2869918991001,0.136096787105214,3,3,"Hand","Echolocation"
"ER",-16.6796288376871,1,35.3592576753741,0.422624160245962,9,4,"Hand","Echolocation"
"SYM",-16.6796288376871,1,35.3592576753741,0.422624160245962,8,4,"Hand","Echolocation"
"ARD",-16.6842903471708,2,37.3685806943416,0.154751679508076,3,4,"Hand","Echolocation"
"ER",-17.0963694212407,1,36.1927388424813,0.427536512700338,9,5,"Hand","Echolocation"
"SYM",-17.0963694212407,1,36.1927388424813,0.427536512700338,8,5,"Hand","Echolocation"
"ARD",-17.1781791236889,2,38.3563582473778,0.144926974599323,3,5,"Hand","Echolocation"
"ER",-17.3396561838205,1,36.6793123676411,0.420229492027968,9,6,"Hand","Echolocation"
"SYM",-17.3396561838205,1,36.6793123676411,0.420229492027968,8,6,"Hand","Echolocation"
"ARD",-17.30815611304,2,38.61631222608,0.159541015944064,3,6,"Hand","Echolocation"
"ER",-17.0652414362577,1,36.1304828725153,0.429889357820471,9,7,"Hand","Echolocation"
"SYM",-17.0652414362577,1,36.1304828725153,0.429889357820471,8,7,"Hand","Echolocation"
"ARD",-17.1855475271053,2,38.3710950542106,0.140221284359058,3,7,"Hand","Echolocation"
"ER",-17.3047641881929,1,36.6095283763858,0.420554529197597,9,8,"Hand","Echolocation"
"SYM",-17.3047641881929,1,36.6095283763858,0.420554529197597,8,8,"Hand","Echolocation"
"ARD",-17.2781202712186,2,38.5562405424372,0.158890941604806,3,8,"Hand","Echolocation"
"ER",-15.8480211384092,1,33.6960422768185,0.420493109097266,9,9,"Hand","Echolocation"
"SYM",-15.8480211384092,1,33.6960422768185,0.420493109097266,8,9,"Hand","Echolocation"
"ARD",-15.8204583537998,2,35.6409167075996,0.159013781805467,3,9,"Hand","Echolocation"
"ER",-15.6545647244303,1,33.3091294488607,0.421027368927867,9,10,"Hand","Echolocation"
"SYM",-15.6545647244303,1,33.3091294488607,0.421027368927867,8,10,"Hand","Echolocation"
"ARD",-15.6350140344524,2,35.2700280689049,0.157945262144266,3,10,"Hand","Echolocation"
"ER",-17.1865632297524,1,36.3731264595047,0.429630156002351,9,11,"Hand","Echolocation"
"SYM",-17.1865632297524,1,36.3731264595047,0.429630156002351,8,11,"Hand","Echolocation"
"ARD",-17.3025759663709,2,38.6051519327417,0.140739687995297,3,11,"Hand","Echolocation"
"ER",-15.7877044328492,1,33.5754088656985,0.420779916052565,9,12,"Hand","Echolocation"
"SYM",-15.7877044328492,1,33.5754088656985,0.420779916052565,8,12,"Hand","Echolocation"
"ARD",-15.7644373326938,2,35.5288746653876,0.158440167894871,3,12,"Hand","Echolocation"
"ER",-17.9934738146272,1,37.9869476292544,0.407252468152684,8,13,"Hand","Echolocation"
"SYM",-17.9934738146272,1,37.9869476292544,0.407252468152684,8,13,"Hand","Echolocation"
"ARD",-17.7798788517427,2,39.5597577034854,0.185495063694632,4,13,"Hand","Echolocation"
"ER",-17.2106801496189,1,36.4213602992378,0.426463519053273,9,14,"Hand","Echolocation"
"SYM",-17.2106801496189,1,36.4213602992378,0.426463519053273,8,14,"Hand","Echolocation"
"ARD",-17.2752781742067,2,38.5505563484133,0.147072961893454,3,14,"Hand","Echolocation"
"ER",-17.0479818636813,1,36.0959637273627,0.421980564448944,9,15,"Hand","Echolocation"
"SYM",-17.0479818636813,1,36.0959637273627,0.421980564448944,8,15,"Hand","Echolocation"
"ARD",-17.0428359709062,2,38.0856719418123,0.156038871102112,3,15,"Hand","Echolocation"
"ER",-16.7985501388832,1,35.5971002777664,0.42399940853595,9,16,"Hand","Echolocation"
"SYM",-16.7985501388832,1,35.5971002777664,0.42399940853595,8,16,"Hand","Echolocation"
"ARD",-16.8243938959141,2,37.6487877918281,0.152001182928101,3,16,"Hand","Echolocation"
"ER",-15.2677777722531,1,32.5355555445061,0.424006009392082,9,17,"Hand","Echolocation"
"SYM",-15.2677777722531,1,32.5355555445061,0.424006009392082,8,17,"Hand","Echolocation"
"ARD",-15.2937239537076,2,34.5874479074151,0.151987981215835,3,17,"Hand","Echolocation"
"ER",-16.5926004121494,1,35.1852008242988,0.417371836930085,9,18,"Hand","Echolocation"
"SYM",-16.5926004121494,1,35.1852008242988,0.417371836930085,8,18,"Hand","Echolocation"
"ARD",-16.5190801716631,2,37.0381603433261,0.165256326139829,3,18,"Hand","Echolocation"
"ER",-17.6391662397688,1,37.2783324795377,0.422114573171052,9,19,"Hand","Echolocation"
"SYM",-17.6391662397688,1,37.2783324795377,0.422114573171052,8,19,"Hand","Echolocation"
"ARD",-17.6360569767913,2,39.2721139535826,0.155770853657895,3,19,"Hand","Echolocation"
"ER",-16.6465847386703,1,35.2931694773406,0.42474668374563,9,20,"Hand","Echolocation"
"SYM",-16.6465847386703,1,35.2931694773406,0.42474668374563,8,20,"Hand","Echolocation"
"ARD",-16.6840705386043,2,37.3681410772087,0.150506632508739,3,20,"Hand","Echolocation"
"ER",-17.8849069926321,1,37.7698139852642,0.411929256498241,8,21,"Hand","Echolocation"
"SYM",-17.8849069926321,1,37.7698139852642,0.411929256498241,8,21,"Hand","Echolocation"
"ARD",-17.7344710441997,2,39.4689420883994,0.176141487003518,4,21,"Hand","Echolocation"
"ER",-17.9216637565354,1,37.8433275130708,0.43410838665501,9,22,"Hand","Echolocation"
"SYM",-17.9216637565354,1,37.8433275130708,0.43410838665501,9,22,"Hand","Echolocation"
"ARD",-18.1137996476767,2,40.2275992953534,0.13178322668998,2,22,"Hand","Echolocation"
"ER",-14.4842851028952,1,30.9685702057903,0.422110615086766,9,23,"Hand","Echolocation"
"SYM",-14.4842851028952,1,30.9685702057903,0.422110615086766,8,23,"Hand","Echolocation"
"ARD",-14.4811156450459,2,32.9622312900918,0.155778769826468,3,23,"Hand","Echolocation"
"ER",-17.6808645551385,1,37.361729110277,0.429462399832088,9,24,"Hand","Echolocation"
"SYM",-17.6808645551385,1,37.361729110277,0.429462399832088,8,24,"Hand","Echolocation"
"ARD",-17.7941056647639,2,39.5882113295279,0.141075200335825,3,24,"Hand","Echolocation"
"ER",-16.9529368485892,1,35.9058736971783,0.423596281580006,9,25,"Hand","Echolocation"
"SYM",-16.9529368485892,1,35.9058736971783,0.423596281580006,8,25,"Hand","Echolocation"
"ARD",-16.9725391381713,2,37.9450782763426,0.152807436839988,3,25,"Hand","Echolocation"
"ER",-17.2248045156487,1,36.4496090312975,0.42898168865906,9,26,"Hand","Echolocation"
"SYM",-17.2248045156487,1,36.4496090312975,0.42898168865906,8,26,"Hand","Echolocation"
"ARD",-17.3301338193278,2,38.6602676386555,0.142036622681881,3,26,"Hand","Echolocation"
"ER",-15.5311864288583,1,33.0623728577167,0.420973801952179,9,27,"Hand","Echolocation"
"SYM",-15.5311864288583,1,33.0623728577167,0.420973801952179,8,27,"Hand","Echolocation"
"ARD",-15.510830433551,2,35.0216608671019,0.158052396095642,3,27,"Hand","Echolocation"
"ER",-15.2878858401909,1,32.5757716803818,0.420358543252078,9,28,"Hand","Echolocation"
"SYM",-15.2878858401909,1,32.5757716803818,0.420358543252078,8,28,"Hand","Echolocation"
"ARD",-15.2583119104551,2,34.5166238209102,0.159282913495845,3,28,"Hand","Echolocation"
"ER",-16.1913592185982,1,34.3827184371963,0.422681414737951,9,29,"Hand","Echolocation"
"SYM",-16.1913592185982,1,34.3827184371963,0.422681414737951,8,29,"Hand","Echolocation"
"ARD",-16.1968964196789,2,36.3937928393577,0.154637170524097,3,29,"Hand","Echolocation"
"ER",-17.2242941453846,1,36.4485882907692,0.421726077055217,9,30,"Hand","Echolocation"
"SYM",-17.2242941453846,1,36.4485882907692,0.421726077055217,8,30,"Hand","Echolocation"
"ARD",-17.2152884543656,2,38.4305769087312,0.156547845889566,3,30,"Hand","Echolocation"
"ER",-16.994710337093,1,35.989420674186,0.43381557290859,9,31,"Hand","Echolocation"
"SYM",-16.994710337093,1,35.989420674186,0.43381557290859,9,31,"Hand","Echolocation"
"ARD",-17.181737458144,2,38.363474916288,0.132368854182819,2,31,"Hand","Echolocation"
"ER",-17.1042302013809,1,36.2084604027618,0.432070768238987,9,32,"Hand","Echolocation"
"SYM",-17.1042302013809,1,36.2084604027618,0.432070768238987,8,32,"Hand","Echolocation"
"ARD",-17.2612059571516,2,38.5224119143032,0.135858463522027,3,32,"Hand","Echolocation"
"ER",-16.993264955344,1,35.986529910688,0.41447060707012,8,33,"Hand","Echolocation"
"SYM",-16.993264955344,1,35.986529910688,0.41447060707012,8,33,"Hand","Echolocation"
"ARD",-16.8782597412495,2,37.756519482499,0.17105878585976,4,33,"Hand","Echolocation"
"ER",-16.7590032563205,1,35.518006512641,0.428435249333167,9,34,"Hand","Echolocation"
"SYM",-16.7590032563205,1,35.518006512641,0.428435249333167,8,34,"Hand","Echolocation"
"ARD",-16.8553930486856,2,37.7107860973712,0.143129501333666,3,34,"Hand","Echolocation"
"ER",-17.2525989912474,1,36.5051979824947,0.418334373642017,9,35,"Hand","Echolocation"
"SYM",-17.2525989912474,1,36.5051979824947,0.418334373642017,8,35,"Hand","Echolocation"
"ARD",-17.193099677054,2,38.3861993541079,0.163331252715966,3,35,"Hand","Echolocation"
"ER",-17.6182292634224,1,37.2364585268447,0.431360576272091,9,36,"Hand","Echolocation"
"SYM",-17.6182292634224,1,37.2364585268447,0.431360576272091,8,36,"Hand","Echolocation"
"ARD",-17.7631593675157,2,39.5263187350315,0.137278847455818,3,36,"Hand","Echolocation"
