"model","logLik","k","AIC","AIC_weight","nsim","tree_number","dataset","trait"
"ER",-55.3526381142711,1,112.705276228542,0.432689436391584,9,1,"Jones","Cave_deposit"
"SYM",-55.3526381142711,1,112.705276228542,0.432689436391584,8,1,"Jones","Cave_deposit"
"ARD",-55.520193980094,2,115.040387960188,0.134621127216833,3,1,"Jones","Cave_deposit"
"ER",-55.2330458108462,1,112.466091621692,0.43491830001728,9,2,"Jones","Cave_deposit"
"SYM",-55.2330458108462,1,112.466091621692,0.43491830001728,9,2,"Jones","Cave_deposit"
"ARD",-55.4394134242425,2,114.878826848485,0.130163399965441,2,2,"Jones","Cave_deposit"
"ER",-55.2452863428447,1,112.490572685689,0.436548682278524,9,3,"Jones","Cave_deposit"
"SYM",-55.2452863428447,1,112.490572685689,0.436548682278524,9,3,"Jones","Cave_deposit"
"ARD",-55.480766098231,2,114.961532196462,0.126902635442951,2,3,"Jones","Cave_deposit"
"ER",-55.1177893892735,1,112.235578778547,0.425240365747231,9,4,"Jones","Cave_deposit"
"SYM",-55.1177893892735,1,112.235578778547,0.425240365747231,8,4,"Jones","Cave_deposit"
"ARD",-55.1630186939393,2,114.326037387879,0.149519268505539,3,4,"Jones","Cave_deposit"
"ER",-55.4698336535594,1,112.939667307119,0.432168328928687,9,5,"Jones","Cave_deposit"
"SYM",-55.4698336535594,1,112.939667307119,0.432168328928687,8,5,"Jones","Cave_deposit"
"ARD",-55.6284724248244,2,115.256944849649,0.135663342142627,3,5,"Jones","Cave_deposit"
"ER",-55.232130244409,1,112.464260488818,0.441299107530097,9,6,"Jones","Cave_deposit"
"SYM",-55.232130244409,1,112.464260488818,0.441299107530097,9,6,"Jones","Cave_deposit"
"ARD",-55.556251027122,2,115.112502054244,0.117401784939805,2,6,"Jones","Cave_deposit"
"ER",-55.44374886124,1,112.88749772248,0.439415839568947,9,7,"Jones","Cave_deposit"
"SYM",-55.44374886124,1,112.88749772248,0.439415839568947,9,7,"Jones","Cave_deposit"
"ARD",-55.7320144082735,2,115.464028816547,0.121168320862106,2,7,"Jones","Cave_deposit"
"ER",-55.4270534079575,1,112.854106815915,0.427414491638238,9,8,"Jones","Cave_deposit"
"SYM",-55.4270534079575,1,112.854106815915,0.427414491638238,8,8,"Jones","Cave_deposit"
"ARD",-55.5068951836441,2,115.013790367288,0.145171016723524,3,8,"Jones","Cave_deposit"
"ER",-55.216690554154,1,112.433381108308,0.443414039127442,9,9,"Jones","Cave_deposit"
"SYM",-55.216690554154,1,112.433381108308,0.443414039127442,9,9,"Jones","Cave_deposit"
"ARD",-55.5822864193976,2,115.164572838795,0.113171921745116,2,9,"Jones","Cave_deposit"
"ER",-55.3570313998881,1,112.714062799776,0.434496323326525,9,10,"Jones","Cave_deposit"
"SYM",-55.3570313998881,1,112.714062799776,0.434496323326525,9,10,"Jones","Cave_deposit"
"ARD",-55.5559654286633,2,115.111930857327,0.131007353346951,2,10,"Jones","Cave_deposit"
"ER",-55.2761794861107,1,112.552358972221,0.438845965998566,9,11,"Jones","Cave_deposit"
"SYM",-55.2761794861107,1,112.552358972221,0.438845965998566,9,11,"Jones","Cave_deposit"
"ARD",-55.5537849534268,2,115.107569906854,0.122308068002868,2,11,"Jones","Cave_deposit"
"ER",-55.25297890112,1,112.50595780224,0.42151201971421,9,12,"Jones","Cave_deposit"
"SYM",-55.25297890112,1,112.50595780224,0.42151201971421,8,12,"Jones","Cave_deposit"
"ARD",-55.2407345184316,2,114.481469036863,0.15697596057158,3,12,"Jones","Cave_deposit"
"ER",-55.5786778167301,1,113.15735563346,0.433430495543812,9,13,"Jones","Cave_deposit"
"SYM",-55.5786778167301,1,113.15735563346,0.433430495543812,9,13,"Jones","Cave_deposit"
"ARD",-55.7590155046697,2,115.518031009339,0.133139008912376,2,13,"Jones","Cave_deposit"
"ER",-55.1577881232321,1,112.315576246464,0.446543528853598,9,14,"Jones","Cave_deposit"
"SYM",-55.1577881232321,1,112.315576246464,0.446543528853598,9,14,"Jones","Cave_deposit"
"ARD",-55.5873101279718,2,115.174620255944,0.106912942292803,2,14,"Jones","Cave_deposit"
"ER",-55.4150887220043,1,112.830177444009,0.428108931991977,9,15,"Jones","Cave_deposit"
"SYM",-55.4150887220043,1,112.830177444009,0.428108931991977,8,15,"Jones","Cave_deposit"
"ARD",-55.5061671896158,2,115.012334379232,0.143782136016046,3,15,"Jones","Cave_deposit"
"ER",-55.4725897509357,1,112.945179501871,0.431536605434948,9,16,"Jones","Cave_deposit"
"SYM",-55.4725897509357,1,112.945179501871,0.431536605434948,8,16,"Jones","Cave_deposit"
"ARD",-55.6204956937691,2,115.240991387538,0.136926789130104,3,16,"Jones","Cave_deposit"
"ER",-55.2548327398298,1,112.50966547966,0.436948549562359,9,17,"Jones","Cave_deposit"
"SYM",-55.2548327398298,1,112.50966547966,0.436948549562359,9,17,"Jones","Cave_deposit"
"ARD",-55.4975499451704,2,114.995099890341,0.126102900875281,2,17,"Jones","Cave_deposit"
"ER",-55.3775295771557,1,112.755059154311,0.423315323819241,9,18,"Jones","Cave_deposit"
"SYM",-55.3775295771557,1,112.755059154311,0.423315323819241,8,18,"Jones","Cave_deposit"
"ARD",-55.3927978449417,2,114.785595689883,0.153369352361517,3,18,"Jones","Cave_deposit"
"ER",-55.2946622785541,1,112.589324557108,0.429256250156054,9,19,"Jones","Cave_deposit"
"SYM",-55.2946622785541,1,112.589324557108,0.429256250156054,8,19,"Jones","Cave_deposit"
"ARD",-55.4045049671161,2,114.809009934232,0.141487499687893,3,19,"Jones","Cave_deposit"
"ER",-55.2381453537186,1,112.476290707437,0.439878602288612,9,20,"Jones","Cave_deposit"
"SYM",-55.2381453537186,1,112.476290707437,0.439878602288612,9,20,"Jones","Cave_deposit"
"ARD",-55.535131144806,2,115.070262289612,0.120242795422777,2,20,"Jones","Cave_deposit"
"ER",-55.4145434294282,1,112.829086858856,0.437029855178772,9,21,"Jones","Cave_deposit"
"SYM",-55.4145434294282,1,112.829086858856,0.437029855178772,9,21,"Jones","Cave_deposit"
"ARD",-55.6587370377744,2,115.317474075549,0.125940289642456,2,21,"Jones","Cave_deposit"
"ER",-55.4139853850903,1,112.827970770181,0.43409553426584,9,22,"Jones","Cave_deposit"
"SYM",-55.4139853850903,1,112.827970770181,0.43409553426584,9,22,"Jones","Cave_deposit"
"ARD",-55.6058966349173,2,115.211793269835,0.131808931468319,2,22,"Jones","Cave_deposit"
"ER",-55.3870961264077,1,112.774192252815,0.436533924361138,9,23,"Jones","Cave_deposit"
"SYM",-55.3870961264077,1,112.774192252815,0.436533924361138,9,23,"Jones","Cave_deposit"
"ARD",-55.6223095159149,2,115.24461903183,0.126932151277725,2,23,"Jones","Cave_deposit"
"ER",-55.4950595426188,1,112.990119085238,0.425763372390459,9,24,"Jones","Cave_deposit"
"SYM",-55.4950595426188,1,112.990119085238,0.425763372390459,8,24,"Jones","Cave_deposit"
"ARD",-55.5485384282007,2,115.097076856401,0.148473255219083,3,24,"Jones","Cave_deposit"
"ER",-55.3545941315786,1,112.709188263157,0.429024349523016,9,25,"Jones","Cave_deposit"
"SYM",-55.3545941315786,1,112.709188263157,0.429024349523016,8,25,"Jones","Cave_deposit"
"ARD",-55.4606237599391,2,114.921247519878,0.141951300953969,3,25,"Jones","Cave_deposit"
"ER",-55.5833115973723,1,113.166623194745,0.423458776781526,9,26,"Jones","Cave_deposit"
"SYM",-55.5833115973723,1,113.166623194745,0.423458776781526,8,26,"Jones","Cave_deposit"
"ARD",-55.6007911255103,2,115.201582251021,0.153082446436949,3,26,"Jones","Cave_deposit"
"ER",-55.3093366772591,1,112.618673354518,0.434866748089123,9,27,"Jones","Cave_deposit"
"SYM",-55.3093366772591,1,112.618673354518,0.434866748089123,9,27,"Jones","Cave_deposit"
"ARD",-55.5147939537775,2,115.029587907555,0.130266503821753,2,27,"Jones","Cave_deposit"
"ER",-55.1896429889724,1,112.379285977945,0.439519458609174,9,28,"Jones","Cave_deposit"
"SYM",-55.1896429889724,1,112.379285977945,0.439519458609174,9,28,"Jones","Cave_deposit"
"ARD",-55.4798561155821,2,114.959712231164,0.120961082781651,2,28,"Jones","Cave_deposit"
"ER",-55.4862521249891,1,112.972504249978,0.423431816676079,9,29,"Jones","Cave_deposit"
"SYM",-55.4862521249891,1,112.972504249978,0.423431816676079,8,29,"Jones","Cave_deposit"
"ARD",-55.5033158168215,2,115.006631633643,0.153136366647842,3,29,"Jones","Cave_deposit"
"ER",-55.1652964041992,1,112.330592808398,0.429380079258183,9,30,"Jones","Cave_deposit"
"SYM",-55.1652964041992,1,112.330592808398,0.429380079258183,8,30,"Jones","Cave_deposit"
"ARD",-55.2771794477877,2,114.554358895575,0.141239841483634,3,30,"Jones","Cave_deposit"
"ER",-55.5528895624909,1,113.105779124982,0.416661055841895,8,31,"Jones","Cave_deposit"
"SYM",-55.5528895624909,1,113.105779124982,0.416661055841895,8,31,"Jones","Cave_deposit"
"ARD",-55.4690995006642,2,114.938199001328,0.166677888316211,4,31,"Jones","Cave_deposit"
"ER",-55.459371662907,1,112.918743325814,0.410919777210604,8,32,"Jones","Cave_deposit"
"SYM",-55.459371662907,1,112.918743325814,0.410919777210604,8,32,"Jones","Cave_deposit"
"ARD",-55.2950851451332,2,114.590170290266,0.178160445578792,4,32,"Jones","Cave_deposit"
