"tree_number","wER","wSYM","wARD"
1,0.373151197249184,0.373151197249184,0.253697605501632
2,0.373222276322033,0.373222276322033,0.253555447355935
3,0.297009584885963,0.297009584885963,0.405980830228073
4,0.373397826994952,0.373397826994952,0.253204346010095
5,0.373043993925003,0.373043993925003,0.253912012149994
6,0.287233351452534,0.287233351452534,0.425533297094932
7,0.306660414539945,0.306660414539945,0.386679170920111
8,0.317762262101653,0.317762262101653,0.364475475796694
9,0.303288515899624,0.303288515899624,0.393422968200751
10,0.373471105454783,0.373471105454783,0.253057789090434
11,0.373054324730282,0.373054324730282,0.253891350539436
12,0.373530900472455,0.373530900472455,0.25293819905509
13,0.37341313812142,0.37341313812142,0.25317372375716
14,0.31465775953928,0.31465775953928,0.370684480921441
15,0.372870170605669,0.372870170605669,0.254259658788662
16,0.373116559886137,0.373116559886137,0.253766880227727
17,0.373383362403043,0.373383362403043,0.253233275193913
18,0.373120014487031,0.373120014487031,0.253759971025939
19,0.329461244115762,0.329461244115762,0.341077511768476
20,0.373199447040846,0.373199447040846,0.253601105918309
21,0.373240964996779,0.373240964996779,0.253518070006443
22,0.320032907206765,0.320032907206765,0.35993418558647
23,0.373522139514942,0.373522139514942,0.252955720970116
24,0.373389804195859,0.373389804195859,0.253220391608283
25,0.267683454531142,0.267683454531142,0.464633090937717
26,0.311081782972006,0.311081782972006,0.377836434055988
27,0.291729653974787,0.291729653974787,0.416540692050425
28,0.372886329935759,0.372886329935759,0.254227340128481
29,0.372850114188709,0.372850114188709,0.254299771622583
30,0.263651319847801,0.263651319847801,0.472697360304398
31,0.310891378270636,0.310891378270636,0.378217243458728
32,0.260960753104128,0.260960753104128,0.478078493791744
33,0.262136096477833,0.262136096477833,0.475727807044334
34,0.373309564580577,0.373309564580577,0.253380870838846
35,0.30311235585544,0.30311235585544,0.393775288289121
36,0.274668032196643,0.274668032196643,0.450663935606714
37,0.373170504461174,0.373170504461174,0.253658991077653
38,0.320334314375215,0.320334314375215,0.35933137124957
39,0.373058511298367,0.373058511298367,0.253882977403266
40,0.316919504196054,0.316919504196054,0.366160991607892
41,0.308039275928303,0.308039275928303,0.383921448143395
42,0.372802079237512,0.372802079237512,0.254395841524976
43,0.309195879555813,0.309195879555813,0.381608240888375
44,0.372958047830729,0.372958047830729,0.254083904338543
45,0.372716472200074,0.372716472200074,0.254567055599853
46,0.37343344965657,0.37343344965657,0.253133100686859
47,0.328298947021581,0.328298947021581,0.343402105956839
48,0.373516133192139,0.373516133192139,0.252967733615722
49,0.372920926983864,0.372920926983864,0.254158146032272
50,0.312218477582194,0.312218477582194,0.375563044835611
