"node","clade_signature","trait_1_p1_mean","trait_1_p1_sd","trait_1_n_matching_trees","n_total_trees","trait_2_p1_mean","trait_2_p1_sd","trait_2_n_matching_trees","trait_1","trait_2"
30,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Erinaceus_europaeus||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Maelestes_gobiensis||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Protungulatum_donnae||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Solenodon_paradoxus||Sorex_araneus||Ukhaatherium_nessovi||Vielasia_sigei||Vulpavus_profectus||Zalambdalestes_lechei",0,0,50,50,0.001,0.00707106781186548,50,"Echolocation","Cave_karstic_deposit"
31,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Erinaceus_europaeus||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Maelestes_gobiensis||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Protungulatum_donnae||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Solenodon_paradoxus||Sorex_araneus||Vielasia_sigei||Vulpavus_profectus",0,0,41,50,0,0,41,"Echolocation","Cave_karstic_deposit"
32,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Erinaceus_europaeus||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Protungulatum_donnae||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Solenodon_paradoxus||Sorex_araneus||Vielasia_sigei||Vulpavus_profectus",0.001,0.00707106781186548,50,50,0.001,0.00707106781186548,50,"Echolocation","Cave_karstic_deposit"
33,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Erinaceus_europaeus||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Solenodon_paradoxus||Sorex_araneus||Vielasia_sigei||Vulpavus_profectus",0.0125,0.027505980211009,20,50,0.0025,0.0111803398874989,20,"Echolocation","Cave_karstic_deposit"
34,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Vielasia_sigei||Vulpavus_profectus",0.0520408163265306,0.0520007849234323,49,50,0.0275510204081633,0.0396090589514622,49,"Echolocation","Cave_karstic_deposit"
35,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Vielasia_sigei",0.39,0.285892801374136,50,50,0.27,0.154523626091314,50,"Echolocation","Cave_karstic_deposit"
36,"Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Hassianycteris_messelensis||Icaronyct_sigei||Icaronycteris_index||Myotis_lucifugus||Nycteris_thebaica||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Vielasia_sigei",0.926470588235294,0.0752446988556825,17,50,0.441176470588235,0.148150360822256,17,"Echolocation","Cave_karstic_deposit"
37,"Cambaya_complexus||Myotis_lucifugus||Nycteris_thebaica||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Vielasia_sigei",0.904,0.12406384136683,50,50,0.735,0.151270132746767,50,"Echolocation","Cave_karstic_deposit"
38,"Myotis_lucifugus||Nycteris_thebaica||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Vielasia_sigei",0.992647058823529,0.0217852916088191,34,50,0.908823529411765,0.0980650589824244,34,"Echolocation","Cave_karstic_deposit"
39,"Myotis_lucifugus||Nycteris_thebaica||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata",0.992,0.0233867222053499,50,50,0.926,0.0743955232359516,50,"Echolocation","Cave_karstic_deposit"
