"node","clade_signature","trait_1_p1_mean","trait_1_p1_sd","trait_1_n_matching_trees","n_total_trees","trait_2_p1_mean","trait_2_p1_sd","trait_2_n_matching_trees","trait_1","trait_2"
83,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Australonycteris_clarkae||Cambaya_complexus||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Chambinycteris_pusilli||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Erinaceus_europaeus||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Khonsunycteris_aegypticus||Khoufechia_gunnelli||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Necromantis_adichaster||Necromantis_fragmentum||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_rosierensis||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Protorhinolophus_shanghuangensi||Pseudorhinolophus_africanum||Pseudorhinolophus_schlosseri||Pseudovespertiliavus_parva||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Vaylatsia_frequens||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei||Volactrix_simmonsae||Witwatia_eremicus||Witwatia_schlosseri||Witwatia_sigei||Xylonycteris_stenodon",0.978,0.040607629724434,50,50,0.212,0.0674309926926054,50,"Echolocation","Cave_deposit"
84,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Australonycteris_clarkae||Cambaya_complexus||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Chambinycteris_pusilli||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Khonsunycteris_aegypticus||Khoufechia_gunnelli||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Necromantis_adichaster||Necromantis_fragmentum||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_rosierensis||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Protorhinolophus_shanghuangensi||Pseudorhinolophus_africanum||Pseudorhinolophus_schlosseri||Pseudovespertiliavus_parva||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Vaylatsia_frequens||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei||Volactrix_simmonsae||Witwatia_eremicus||Witwatia_schlosseri||Witwatia_sigei||Xylonycteris_stenodon",0.983,0.0313147288811185,50,50,0.184,0.0673401357108153,50,"Echolocation","Cave_deposit"
85,"Cambaya_complexus||Necromantis_adichaster||Necromantis_fragmentum||Palaeophyllophora_rosierensis||Protorhinolophus_shanghuangensi||Pseudorhinolophus_schlosseri||Vaylatsia_frequens||Volactrix_simmonsae",0.982,0.0346410161513776,50,50,0.066,0.060978417058323,50,"Echolocation","Cave_deposit"
86,"Cambaya_complexus||Necromantis_adichaster||Necromantis_fragmentum||Palaeophyllophora_rosierensis||Protorhinolophus_shanghuangensi||Vaylatsia_frequens||Volactrix_simmonsae",0.985,0.0353553390593274,50,50,0.07,0.0614451804788759,50,"Echolocation","Cave_deposit"
87,"Cambaya_complexus||Necromantis_adichaster||Necromantis_fragmentum||Palaeophyllophora_rosierensis||Protorhinolophus_shanghuangensi||Vaylatsia_frequens",0.986,0.0303718451792419,50,50,0.065,0.0599744843705238,50,"Echolocation","Cave_deposit"
88,"Cambaya_complexus||Necromantis_adichaster||Necromantis_fragmentum||Palaeophyllophora_rosierensis||Protorhinolophus_shanghuangensi",0.987,0.0299829883740219,50,50,0.059,0.0541068481840161,50,"Echolocation","Cave_deposit"
89,"Cambaya_complexus||Necromantis_adichaster||Necromantis_fragmentum||Protorhinolophus_shanghuangensi",0.987,0.0263609172674942,50,50,0.055,0.0507595371555425,50,"Echolocation","Cave_deposit"
90,"Necromantis_adichaster||Necromantis_fragmentum||Protorhinolophus_shanghuangensi",0.987,0.0263609172674942,50,50,0.047,0.0519124066017332,50,"Echolocation","Cave_deposit"
91,"Necromantis_adichaster||Necromantis_fragmentum",0.985,0.0290144228736999,50,50,0.049,0.049989794876922,50,"Echolocation","Cave_deposit"
92,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Australonycteris_clarkae||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Chambinycteris_pusilli||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Khonsunycteris_aegypticus||Khoufechia_gunnelli||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Pseudorhinolophus_africanum||Pseudovespertiliavus_parva||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei||Witwatia_eremicus||Witwatia_schlosseri||Witwatia_sigei||Xylonycteris_stenodon",0.984,0.0310365156891435,50,50,0.178,0.0671276578541185,50,"Echolocation","Cave_deposit"
