"node","clade_signature","trait_1_p1_mean","trait_1_p1_sd","trait_1_n_matching_trees","n_total_trees","trait_2_p1_mean","trait_2_p1_sd","trait_2_n_matching_trees","trait_1","trait_2"
83,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Australonycteris_clarkae||Cambaya_complexus||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Chambinycteris_pusilli||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Erinaceus_europaeus||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Khonsunycteris_aegypticus||Khoufechia_gunnelli||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Necromantis_adichaster||Necromantis_fragmentum||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_rosierensis||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Protorhinolophus_shanghuangensi||Pseudorhinolophus_africanum||Pseudorhinolophus_schlosseri||Pseudovespertiliavus_parva||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Vaylatsia_frequens||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei||Volactrix_simmonsae||Witwatia_eremicus||Witwatia_schlosseri||Witwatia_sigei||Xylonycteris_stenodon",0.978,0.040607629724434,50,50,0.869,0.0775189246150215,50,"Echolocation","Cave_karstic_deposit"
84,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Australonycteris_clarkae||Cambaya_complexus||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Chambinycteris_pusilli||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Khonsunycteris_aegypticus||Khoufechia_gunnelli||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Necromantis_adichaster||Necromantis_fragmentum||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_rosierensis||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Protorhinolophus_shanghuangensi||Pseudorhinolophus_africanum||Pseudorhinolophus_schlosseri||Pseudovespertiliavus_parva||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Vaylatsia_frequens||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei||Volactrix_simmonsae||Witwatia_eremicus||Witwatia_schlosseri||Witwatia_sigei||Xylonycteris_stenodon",0.983,0.0313147288811185,50,50,0.887,0.0705734528338947,50,"Echolocation","Cave_karstic_deposit"
85,"Cambaya_complexus||Necromantis_adichaster||Necromantis_fragmentum||Palaeophyllophora_rosierensis||Protorhinolophus_shanghuangensi||Pseudorhinolophus_schlosseri||Vaylatsia_frequens||Volactrix_simmonsae",0.982,0.0346410161513776,50,50,0.886,0.0789212989539036,50,"Echolocation","Cave_karstic_deposit"
86,"Cambaya_complexus||Necromantis_adichaster||Necromantis_fragmentum||Palaeophyllophora_rosierensis||Protorhinolophus_shanghuangensi||Vaylatsia_frequens||Volactrix_simmonsae",0.985,0.0353553390593274,50,50,0.872,0.0686309265683675,50,"Echolocation","Cave_karstic_deposit"
87,"Cambaya_complexus||Necromantis_adichaster||Necromantis_fragmentum||Palaeophyllophora_rosierensis||Protorhinolophus_shanghuangensi||Vaylatsia_frequens",0.986,0.0303718451792419,50,50,0.877,0.0881846393213971,50,"Echolocation","Cave_karstic_deposit"
88,"Cambaya_complexus||Necromantis_adichaster||Necromantis_fragmentum||Palaeophyllophora_rosierensis||Protorhinolophus_shanghuangensi",0.987,0.0299829883740219,50,50,0.866,0.0835683760126266,50,"Echolocation","Cave_karstic_deposit"
89,"Cambaya_complexus||Necromantis_adichaster||Necromantis_fragmentum||Protorhinolophus_shanghuangensi",0.987,0.0263609172674942,50,50,0.871,0.0763250299972534,50,"Echolocation","Cave_karstic_deposit"
90,"Necromantis_adichaster||Necromantis_fragmentum||Protorhinolophus_shanghuangensi",0.987,0.0263609172674942,50,50,0.877,0.0770700714828223,50,"Echolocation","Cave_karstic_deposit"
91,"Necromantis_adichaster||Necromantis_fragmentum",0.985,0.0290144228736999,50,50,0.861,0.0803626982206678,50,"Echolocation","Cave_karstic_deposit"
92,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Australonycteris_clarkae||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Chambinycteris_pusilli||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Khonsunycteris_aegypticus||Khoufechia_gunnelli||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Pseudorhinolophus_africanum||Pseudovespertiliavus_parva||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei||Witwatia_eremicus||Witwatia_schlosseri||Witwatia_sigei||Xylonycteris_stenodon",0.984,0.0310365156891435,50,50,0.876,0.0770899289327545,50,"Echolocation","Cave_karstic_deposit"
93,"Khonsunycteris_aegypticus||Witwatia_eremicus||Witwatia_schlosseri||Witwatia_sigei",0.95,0.0391230398217976,50,50,0.845,0.0796996914443621,50,"Echolocation","Cave_karstic_deposit"
94,"Witwatia_eremicus||Witwatia_schlosseri||Witwatia_sigei",0.952,0.0377424137532083,50,50,0.854,0.0748058712090631,50,"Echolocation","Cave_karstic_deposit"
95,"Witwatia_eremicus||Witwatia_sigei",0.952,0.039070840946221,50,50,0.854,0.07682474091285,50,"Echolocation","Cave_karstic_deposit"
96,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Australonycteris_clarkae||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Chambinycteris_pusilli||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Khoufechia_gunnelli||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Pseudorhinolophus_africanum||Pseudovespertiliavus_parva||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei||Xylonycteris_stenodon",0.983,0.0329036937322315,50,50,0.865,0.0750849858629594,50,"Echolocation","Cave_karstic_deposit"
